"full_name","pdes","a","e","i","om","w","ma","epoch_mjd"
"   115 Thyra (A871 PA)",115,2.37958696553191,.1926606007014323,11.58715686022404,308.7741569430088,96.8368514080293,86.72608476942446,60200
"   116 Sirona (A871 RA)",116,2.767574321041238,.1406004283589824,3.564033101212086,63.69022256982297,94.18311121873462,205.3151041641982,60200
"   117 Lomia (A871 RB)",117,2.989922110070602,.02346091315576812,14.92678356367268,348.6355809499778,51.99403841988742,93.23955431564029,60200
"   118 Peitho (A872 EA)",118,2.437106340889089,.1635994537695684,7.748130420839201,47.6373302337152,32.91340963894874,5.199356767730465,60200
"   119 Althaea (A872 GA)",119,2.582701551824453,.08212706956845209,5.788014356202795,203.6303531178322,171.1623380640484,11.42090543153744,60200
"   120 Lachesis (A872 GB)",120,3.124267875127334,.05009612574092991,6.950547197132268,341.1341311973275,236.5709629051636,157.7450363383953,60200
"   121 Hermione (A872 JA)",121,3.4534998638625,.1256752809657017,7.566941221053442,72.87621067066844,296.9265245316405,105.2936952746584,60200
"   122 Gerda (A872 OA)",122,3.233264762757192,.0275565693023277,1.643351789573028,178.093493784959,318.6541036993842,249.089003508705,60200
"   123 Brunhild (A872 OB)",123,2.696298644411463,.1210537494020846,6.410212094872136,307.6837675373331,124.9677301994294,317.2250963020921,60200
"   124 Alkeste (A872 QA)",124,2.628659112211556,.07816803581565997,2.963820071359079,187.9114920804911,61.98834145022206,223.8488831756067,60200
"   125 Liberatrix (A872 RA)",125,2.742917604515921,.08072272749946657,4.665072950572182,168.9507236391925,109.9553902992456,150.9669633331878,60200
"   126 Velleda (A872 VA)",126,2.439526524280538,.1052595698007543,2.923383156367,23.24027340504402,328.2120534760508,255.1452042030481,60200
"   127 Johanna (A872 VB)",127,2.758728953859795,.06495520733031124,8.244819609404349,31.13005699290855,92.20431565501595,270.5237097872761,60200
"   128 Nemesis (A872 WA)",128,2.748859991404298,.1277270834504901,6.247049548032847,76.15894487207439,302.8249673712527,58.8722951097817,60200
"   129 Antigone (A873 CA)",129,2.867397178779864,.2129230242854346,12.27049985673958,135.6649542886364,110.6915299656668,265.1722309996075,60200
